"Species","Common","IUIS Allergen","Type","Group","Length","GI#","First Version"
"Alternaria alternata","Fungus","Alt a 3","Aero Fungi","Alternaria HSP Alt a 3","152","14423730","7"
"Alternaria alternata","Fungus","Unassigned","Aero Plant","Alternaria MnSOD","25","292630881","12"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Nuc Transport 2","124","21748153","7"
"Alternaria alternata","Fungus","Alt a 12","Aero Fungi","Alternaria Ribosomal BP P1 Alt a 12","110","1350779","7"
"Alternaria alternata","Fungus","Alt a 5","Aero Fungi","Alternaria ribosomal P2 Alt a 5","113","1850540","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria ribosomal P2 Alt a 5","113","1173071","10"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria TCTP IgE binding","169","112824341","11"
"Alternaria alternata","Fungus","Alt a 4","Aero Fungi","Alternaria thioredoxin Alt a 4","436","85701160","7"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 2","292","23894240","7"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 2","404","23894244","7"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 4","726","23894232","7"
"Arthroderma vanbreuseghemii","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 4","726","219687753","10"
"Aspergillus flavus","Fungus","Unassigned","Aero Fungi","Aspergillus Oryzin Asp o 13, fl 13","403","74665726","7"
"Aspergillus fumigatus","Fungus","Asp f 1","Aero Fungi","Aspergillus Asp f 1","125","3021324","7"
"Aspergillus fumigatus","Fungus","Asp f 1","Aero Fungi","Aspergillus Asp f 1","150","9280360","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 1","176","54039254","7"
"Aspergillus fumigatus","Fungus","Asp f 10","Aero Fungi","Aspergillus Asp f 10","395","963013","7"
"Aspergillus fumigatus","Fungus","Asp f 11","Aero Fungi","Aspergillus Asp f 11","178","5019414","7"
"Aspergillus fumigatus","Fungus","Asp f 12","Aero Fungi","Aspergillus Asp f 12","706","83303658","7"
"Aspergillus fumigatus","Fungus","Asp f 2","Aero Fungi","Aspergillus Asp f 2","250","664852","7"
"Aspergillus fumigatus","Fungus","Asp f 2","Aero Fungi","Aspergillus Asp f 2","310","83300352","7"
"Aspergillus fumigatus","Fungus","Asp f 22","Aero Fungi","Aspergillus Asp f 22","438","13925873","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 22","438","83288046","7"
"Aspergillus fumigatus","Fungus","Asp f 3","Aero Fungi","Aspergillus Asp f 3","168","2769700","7"
"Aspergillus fumigatus","Fungus","Asp f 4","Aero Fungi","Aspergillus Asp f 4","286","3005839","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 4","322","83300369","7"
"Aspergillus fumigatus","Fungus","Asp f 6","Aero Fungi","Aspergillus Asp f 6","221","1648970","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 6","210","83305645","7"
"Aspergillus fumigatus","Fungus","Asp f 7","Aero Fungi","Aspergillus Asp f 7","270","83300389","7"
"Aspergillus fumigatus","Fungus","Asp f 8","Aero Fungi","Aspergillus Asp f 8","111","6686524","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 8","111","83305635","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 9","395","85540942","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Ribosomal protein L3","392","21215170","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Ribosomal protein L3","392","83305621","7"
"Aspergillus fumigatus","Fungus","Unassigned","Aero Fungi","Aspergillus Vacuolar Serine protease","495","2143220","7"
"Aspergillus fumigatus Af293","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 2","304","66849502","7"
"Aspergillus fumigatus Af293","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 3","168","66845476","8"
"Aspergillus fumigatus Af293","Fungus","Unassigned","Aero Fungi","Aspergillus Asp f 4","322","66847146","8"
"Aspergillus niger","Fungus","Asp n 14","Aero Fungi","Aspergillus Asp n 14","804","2181180","7"
"Aspergillus niger","Fungus","Asp n 14","Aero Fungi","Aspergillus Asp n 14","804","4235093","7"
"Aspergillus niger","Fungus","Unassigned","Aero Fungi","Aspergillus Vacuolar Serine protease","533","289172","7"
"Aspergillus oryzae","Fungus","Asp o 21","Aero Fungi","Aspergillus Alpha-amylase A","499","94706935","7"
"Aspergillus oryzae","Fungus","Asp o 13","Aero Fungi","Aspergillus Oryzin Asp o 13, fl 13","403","129235","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Cla h 10","496","108935817","8"
"Davidiella tassiana","Fungus","Cla h 5","Aero Fungi","Cladosporium / Davidiella Cla h 5","111","1173074","7"
"Davidiella tassiana","Fungus","Cla h 5","Aero Fungi","Cladosporium / Davidiella Cla h 5","111","21542440","7"
"Davidiella tassiana","Fungus","Cla h 6","Aero Fungi","Cladosporium / Davidiella Cla h 6","440","467660","7"
"Davidiella tassiana","Fungus","Cla h 6","Aero Fungi","Cladosporium / Davidiella Cla h 6","440","6015094","7"
"Davidiella tassiana","Fungus","Cla h 7","Aero Fungi","Cladosporium / Davidiella Cla h 7","204","1168970","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Cla h 8","267","85701146","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Cla h 9 vacuolar serine","518","60116876","10"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Heat shock 70 kDa protei","643","729764","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Hydrophobin","105","22796153","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Putative nuclear transpo","125","21748151","7"
"Epicoccum nigrum","Fungus","Unassigned","Aero Fungi","Epicoccum Epi p 1","18","24636820","9"
"Fusarium culmorum","Fungus","Unassigned","Aero Fungi","Fusarium claimed Fus c 3","450","25361513","7"
"Fusarium culmorum","Fungus","Unassigned","Aero Fungi","Fusarium Fus c 1","109","41688715","10"
"Fusarium culmorum","Fungus","Unassigned","Aero Fungi","Fusarium Fus c 2","121","52783462","9"
"Gibberella zeae PH-1","Fungus","Unassigned","Aero Fungi","Gibberella 60S acidic ribosomal protein P2","109","46122455","7"
"Penicillium brevicompactum","Fungus","Unassigned","Aero Fungi","Penicillium Pen b 26","107","59894749","7"
"Penicillium chrysogenum","Fungus","Pen ch 18","Aero Fungi","Penicillium Pen 18","494","7963902","7"
"Penicillium chrysogenum","Fungus","Pen ch 18","Aero Fungi","Penicillium Pen 18","494","14215732","7"
"Penicillium chrysogenum","Fungus","Pen ch 13","Aero Fungi","Penicillium Pen ch 13","397","6684758","7"
"Penicillium chrysogenum","Fungus","Pen ch 13","Aero Fungi","Penicillium Pen ch 13","398","21069093","7"
"Penicillium chrysogenum","Fungus","Pen ch 20","Aero Fungi","Penicillium Pen ch 20  68 kDa protein","117","999009","7"
"Penicillium citrinum","Fungus","Unassigned","Aero Fungi","Penicillium Pen 18","457","4588118","7"
"Penicillium citrinum","Fungus","Unassigned","Aero Fungi","Penicillium Pen 18","358","12005501","7"
"Penicillium citrinum","Fungus","Pen c 19","Aero Fungi","Penicillium Pen c 19","503","14423733","7"
"Penicillium citrinum","Fungus","Unassigned","Aero Fungi","Penicillium Pen c 22","438","74664773","9"
"Penicillium citrinum","Fungus","Pen c 24","Aero Fungi","Penicillium Pen c 24","228","38326693","7"
"Penicillium citrinum","Fungus","Pen c 3","Aero Fungi","Penicillium Pen c 3","167","5326864","7"
"Penicillium citrinum","Fungus","Unassigned","Aero Fungi","Penicillium Pen ch 13","397","4587983","7"
"Penicillium oxalicum","Fungus","Pen o 18","Aero Fungi","Penicillium Pen 18","503","12005497","7"
"Rhodotorula mucilaginosa","Fungus","Unassigned","Aero Fungi","Rhodotorula Rho m 1","439","37078092","7"
"Rhodotorula mucilaginosa","Fungus","Unassigned","Aero Fungi","Rhodotorula Rho m 2","342","54654335","7"
"Trichophyton rubrum","Fungus","Tri r 2","Contact","Trichophyton (Arthroderma) Tri m 2","412","5813790","7"
"Trichophyton rubrum","Fungus","Tri r 4","Contact","Trichophyton tri 4 allergen (Arthroderma)","726","5813788","7"
"Trichophyton schoenleinii","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 2","405","74663809","12"
"Trichophyton schoenleinii","Fungus","Unassigned","Contact","Trichophyton tri 4 allergen (Arthroderma)","726","23894227","7"
"Blattella germanica","German cockroach","Bla g 1.02","Aero Insect","Blattella Bla g 1","492","4240395","7"
"Blattella germanica","German cockroach","Bla g 1.0101","Aero Insect","Blattella Bla g 1","412","4572592","7"
"Blattella germanica","German cockroach","Bla g 2","Aero Insect","Blattella Bla g 2","352","1703445","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 2","330","62738637","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 2","352","145105726","9"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 2","334","315113421","12"
"Blattella germanica","German cockroach","Bla g 4","Aero Insect","Blattella Bla g 4","182","1166573","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 4","182","144952778","9"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 4","181","212675308","10"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 4","191","194350815","11"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 4","190","194350817","11"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 5","204","6225491","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella Bla g 5","200","144952780","9"
"Blattella germanica","German cockroach","Unassigned","Unassigned","Blattella Bla g 6","151","82704032","8"
"Blattella germanica","German cockroach","Unassigned","Unassigned","Blattella Bla g 6","151","82704034","8"
"Blattella germanica","German cockroach","Unassigned","Unassigned","Blattella Bla g 6","154","82704036","8"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella delta GST","216","161137518","11"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella tropomyosin","284","8101069","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella uncertain","20","544618","7"
"Blattella germanica","German cockroach","Unassigned","Aero Insect","Blattella uncertain","25","544619","7"
"Apis dorsata","Giant honeybee","Unassigned","Venom or Salivary","Apis Api m 1","134","47117012","7"
"Apis dorsata","Giant honeybee","Unassigned","Venom or Salivary","Apis Api m 4 Melittin","26","126955","7"
"Ambrosia trifida","Giant ragweed","Amb t 5","Aero Plant","Ambrosia trifida Amb t 5","73","114091","7"
"Vitis sp.","Grape","Unassigned","Food Plant","Vitis Lipid transfer protein P3","91","145559502","8"
"Vitis sp.","Grape","Vit v 1","Food Plant","Vitis Vit v 1 LTP","37","462719","7"
"Vitis sp.","Grape","Unassigned","Food Plant","Vitis Vit v 1 LTP","38","462717","7"
"Metapenaeus ensis","Greasyback shrimp","Unassigned","Food Animal","Metapenaeus Met e 1 Tropomyosin","274","6094504","9"
"Apis mellifera","Honeybee","Api m 1","Venom or Salivary","Apis Api m 1","167","24418862","7"
"Apis mellifera","Honeybee","Api m 2","Venom or Salivary","Apis Api m 2","382","585279","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 3 acid phosphatase","388","208342441","10"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 3 acid phosphatase","388","60652325","11"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 4 Melittin","27","69552","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 4 Melittin","70","126949","8"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 5 dipeptidylpeptidase","775","313471719","12"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 6","92","94400907","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 6","94","88770352","10"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis icarapin Api m 10","223","94471622","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis icarapin Api m 10","175","94471624","7"
"Carpinus betulus","Hornbeam","Car b 1","Aero Plant","Carpinus Car b 1","159","402745","7"
"Carpinus betulus","Hornbeam","Car b 1","Aero Plant","Carpinus Car b 1","160","730048","7"
"Carpinus betulus","Hornbeam","Car b 1","Aero Plant","Carpinus Car b 1","160","730049","7"
"Carpinus betulus","Hornbeam","Car b 1.0103","Aero Plant","Carpinus Car b 1","160","1545875","7"
"Carpinus betulus","Hornbeam","Car b 1.0104","Aero Plant","Carpinus Car b 1","160","1545877","7"
"Carpinus betulus","Hornbeam","Car b 1.0104","Aero Plant","Carpinus Car b 1","160","1545879","7"
"Carpinus betulus","Hornbeam","Car b 1.0105","Aero Plant","Carpinus Car b 1","160","1545887","7"
"Carpinus betulus","Hornbeam","Car b 1","Aero Plant","Carpinus Car b 1","160","1545891","7"
"Carpinus betulus","Hornbeam","Car b 1.0108","Aero Plant","Carpinus Car b 1","160","1545893","7"
"Carpinus betulus","Hornbeam","Car b 1.0301","Aero Plant","Carpinus Car b 1","161","1545895","7"
"Carpinus betulus","Hornbeam","Car b 1.0302","Aero Plant","Carpinus Car b 1","161","1545897","7"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","40","239735","7"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","160","167472845","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","160","167472837","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","160","167472843","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","160","167472841","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","160","167472839","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008578","12"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008579","12"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008580","12"
"Equus caballus","Horse","Equ c 1","Aero Animal","Equus Equ c 1","187","3121758","7"
"Equus caballus","Horse","Equ c 2.0101","Aero Animal","Equus Equ c 2","29","3121755","7"
"Equus caballus","Horse","Equ c 2.0102","Aero Animal","Equus Equ c 2","19","3121756","7"
"Equus caballus","Horse","Unassigned","Aero Animal","Equus Equ c 3","607","543794","9"
"Equus caballus","Horse","Unassigned","Aero Animal","Equus Equ c 4","228","38258932","8"
"Equus caballus","Horse","Unassigned","Aero Animal","Equus Equ c 4","228","152031631","9"
"Tabanus yao","Horse Fly","Tab y 1.0101","Venom or Salivary","Tabanus Tab y 1 Apyrase","554","323473390","12"
"Tabanus yao","Horse Fly","Tab y 2.0101","Venom or Salivary","Tabanus Tab y 2 Hyaluronidase","349","304273371","12"
"Tabanus yao","Horse Fly","Tab y 5.0101","Venom or Salivary","Tabanus Tab y 5","256","304273369","12"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der f 13","131","99031759","7"
"Dermatophagoides farinae","House dust mite","Der f 16","Aero Mite","Dermatophagoides Der f 16","480","21591547","7"
"Dermatophagoides farinae","House dust mite","Der f 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","321","730035","7"
"Dermatophagoides farinae","House dust mite","Der f 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","321","27530349","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","276","76097507","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","321","156106765","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","263","37958161","12"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 10 / Der f 10","284","42559584","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 11 / Der f 11","692","42559514","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 14 / Der f 14","341","729979","7"
"Dermatophagoides farinae","House dust mite","Der f 14","Aero Mite","Dermatophagoides Der p 14 / Der f 14","349","1545803","7"
"Dermatophagoides farinae","House dust mite","Der f 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","138","217308","7"
"Dermatophagoides farinae","House dust mite","Der f 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","142","546852","7"
"Dermatophagoides farinae","House dust mite","Der f 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","17978844","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","55859470","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","55859468","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","55859466","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","76097511","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","175","156480837","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","218203834","10"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","256631558","11"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","140","37958157","12"
"Dermatophagoides farinae","House dust mite","Der f 3","Aero Mite","Dermatophagoides Der p 3 / Der f 3","232","1314736","7"
"Dermatophagoides farinae","House dust mite","Der f 3","Aero Mite","Dermatophagoides Der p 3 / Der f 3","259","2507248","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 3 / Der f 3","259","163638970","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 3 / Der f 3","259","218203816","10"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 3 / Der f 3","259","218203818","10"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 6 / Der f 6","279","14424450","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 6 / Der f 6","20","404371","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 6 / Der f 6","279","218203826","10"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 6 / Der f 6","279","218203828","10"
"Dermatophagoides farinae","House dust mite","Der f 7","Aero Mite","Dermatophagoides Der p 7 /  Der f 7","213","2498299","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 7 /  Der f 7","213","37958165","8"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 7 /  Der f 7","213","218203832","10"
"Dermatophagoides farinae","House dust mite","Der f 18","Aero Mite","Dermatophagoides farinae Der f 18 Der p chitinase","462","27550039","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","60679572","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089314","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089316","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089320","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089322","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089324","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 21 Chew","136","140089326","9"
"Dermatophagoides microceras","House dust mite","Der m 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","30","127205","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","320","730036","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725560","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725562","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725564","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725566","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725568","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725570","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725572","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725574","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725576","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725578","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 1","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","21725580","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","216","61608445","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","83754033","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","211","1460058","8"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","223","157696052","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","222","223365887","10"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","320","195933901","10"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","302","256095986","11"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1","96","387592","11"
"Dermatophagoides pteronyssinus","House dust mite","Der p 10","Aero Mite","Dermatophagoides Der p 10 / Der f 10","284","2353266","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 10","Aero Mite","Dermatophagoides Der p 10 / Der f 10","284","2440053","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 10 / Der f 10","281","80553470","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 10 / Der f 10","284","208970286","10"
"Dermatophagoides pteronyssinus","House dust mite","Der p 11","Aero Mite","Dermatophagoides Der p 11 / Der f 11","875","37778944","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 13","131","302035350","12"
"Dermatophagoides pteronyssinus","House dust mite","Der p 14","Aero Mite","Dermatophagoides Der p 14 / Der f 14","1662","20385544","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","1352237","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21465915","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725582","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725584","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725586","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725588","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725590","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725592","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725594","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725596","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725600","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725602","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 2","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","21725604","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","76097509","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","99644635","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","130","110560872","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","157829757","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","145","164415595","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","256095984","11"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 21","140","85687540","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 3","Aero Mite","Dermatophagoides Der p 3 / Der f 3","261","511476","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 4","Aero Mite","Dermatophagoides Der p 4","496","5059162","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 4","19","1351935","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 5","Aero Mite","Dermatophagoides Der p 5","132","1352238","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 5","Aero Mite","Dermatophagoides Der p 5","132","913285","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 5","Aero Mite","Dermatophagoides Der p 5","132","28798085","7"
"Dermatophagoides pteronyssinus","House dust mite","Der p 6","Aero Mite","Dermatophagoides Der p 6 / Der f 6","20","1352239","7"
